Year,Sex,Age,Disability status,Units,Value
2009,Female,35 to 44,Not disabled,Percent,6.9
2010,Female,35 to 44,Not disabled,Percent,7.4
2011,Female,35 to 44,Not disabled,Percent,6.9
2012,Female,35 to 44,Not disabled,Percent,6.5
2013,Female,35 to 44,Not disabled,Percent,5.8
2014,Female,35 to 44,Not disabled,Percent,4.6
2015,Female,35 to 44,Not disabled,Percent,4.2
2016,Female,35 to 44,Not disabled,Percent,3.9
2017,Female,35 to 44,Not disabled,Percent,3.5
2018,Female,35 to 44,Not disabled,Percent,3.0
2019,Female,35 to 44,Not disabled,Percent,2.7
2020,Female,35 to 44,Not disabled,Percent,6.5
2021,Female,35 to 44,Not disabled,Percent,4.4
2022,Female,35 to 44,Not disabled,Percent,2.8
2023,Female,35 to 44,Not disabled,Percent,2.6
2009,Female,45 to 54,Disabled,Percent,12.3
2010,Female,45 to 54,Disabled,Percent,13.5
2011,Female,45 to 54,Disabled,Percent,14.0
2012,Female,45 to 54,Disabled,Percent,14.0
2013,Female,45 to 54,Disabled,Percent,13.2
2014,Female,45 to 54,Disabled,Percent,11.0
2015,Female,45 to 54,Disabled,Percent,9.0
2016,Female,45 to 54,Disabled,Percent,9.0
2017,Female,45 to 54,Disabled,Percent,8.4
2018,Female,45 to 54,Disabled,Percent,7.1
2019,Female,45 to 54,Disabled,Percent,6.9
2020,Female,45 to 54,Disabled,Percent,11.8
2021,Female,45 to 54,Disabled,Percent,10.5
2022,Female,45 to 54,Disabled,Percent,5.8
2023,Female,45 to 54,Disabled,Percent,6.8
2009,Female,45 to 54,Not disabled,Percent,5.7
2010,Female,45 to 54,Not disabled,Percent,6.5
2011,Female,45 to 54,Not disabled,Percent,6.4
2012,Female,45 to 54,Not disabled,Percent,5.9
2013,Female,45 to 54,Not disabled,Percent,5.2
2014,Female,45 to 54,Not disabled,Percent,4.2
2015,Female,45 to 54,Not disabled,Percent,3.6
2016,Female,45 to 54,Not disabled,Percent,3.5
2017,Female,45 to 54,Not disabled,Percent,3.1
2018,Female,45 to 54,Not disabled,Percent,2.7
2019,Female,45 to 54,Not disabled,Percent,2.5
2020,Female,45 to 54,Not disabled,Percent,6.7
2021,Female,45 to 54,Not disabled,Percent,4.0
2022,Female,45 to 54,Not disabled,Percent,2.4
2023,Female,45 to 54,Not disabled,Percent,2.2
2009,Female,55 to 64,Disabled,Percent,9.9
2010,Female,55 to 64,Disabled,Percent,10.2
2011,Female,55 to 64,Disabled,Percent,10.9
2012,Female,55 to 64,Disabled,Percent,8.5
2013,Female,55 to 64,Disabled,Percent,9.6
2014,Female,55 to 64,Disabled,Percent,9.3
2015,Female,55 to 64,Disabled,Percent,8.4
2016,Female,55 to 64,Disabled,Percent,7.6
2017,Female,55 to 64,Disabled,Percent,7.0
2018,Female,55 to 64,Disabled,Percent,6.5
2019,Female,55 to 64,Disabled,Percent,5.2
2020,Female,55 to 64,Disabled,Percent,10.2
2021,Female,55 to 64,Disabled,Percent,6.4
2022,Female,55 to 64,Disabled,Percent,4.6
2023,Female,55 to 64,Disabled,Percent,4.5
2009,Female,55 to 64,Not disabled,Percent,5.7
2010,Female,55 to 64,Not disabled,Percent,6.0
2011,Female,55 to 64,Not disabled,Percent,5.8
2012,Female,55 to 64,Not disabled,Percent,5.4
2013,Female,55 to 64,Not disabled,Percent,4.7
2014,Female,55 to 64,Not disabled,Percent,3.9
2015,Female,55 to 64,Not disabled,Percent,3.3
2016,Female,55 to 64,Not disabled,Percent,3.0
2017,Female,55 to 64,Not disabled,Percent,2.8
2018,Female,55 to 64,Not disabled,Percent,2.5
2019,Female,55 to 64,Not disabled,Percent,2.5
2020,Female,55 to 64,Not disabled,Percent,7.0
2021,Female,55 to 64,Not disabled,Percent,4.0
2022,Female,55 to 64,Not disabled,Percent,2.4
2023,Female,55 to 64,Not disabled,Percent,2.2
2009,Female,65 and over,Disabled,Percent,7.3
2010,Female,65 and over,Disabled,Percent,9.4
2011,Female,65 and over,Disabled,Percent,8.1
2012,Female,65 and over,Disabled,Percent,7.4
2013,Female,65 and over,Disabled,Percent,6.0
2014,Female,65 and over,Disabled,Percent,6.1
2015,Female,65 and over,Disabled,Percent,5.7
2016,Female,65 and over,Disabled,Percent,7.4
2017,Female,65 and over,Disabled,Percent,6.0
2018,Female,65 and over,Disabled,Percent,4.9
2019,Female,65 and over,Disabled,Percent,5.0
2020,Female,65 and over,Disabled,Percent,9.6
2021,Female,65 and over,Disabled,Percent,8.2
2022,Female,65 and over,Disabled,Percent,5.1
2023,Female,65 and over,Disabled,Percent,4.7
2009,Female,65 and over,Not disabled,Percent,6.0
2010,Female,65 and over,Not disabled,Percent,5.8
2011,Female,65 and over,Not disabled,Percent,6.3
2012,Female,65 and over,Not disabled,Percent,6.2
2013,Female,65 and over,Not disabled,Percent,5.0
2014,Female,65 and over,Not disabled,Percent,4.5
2015,Female,65 and over,Not disabled,Percent,3.7
2016,Female,65 and over,Not disabled,Percent,3.5
2017,Female,65 and over,Not disabled,Percent,3.6
2018,Female,65 and over,Not disabled,Percent,3.1
2019,Female,65 and over,Not disabled,Percent,2.8
2020,Female,65 and over,Not disabled,Percent,8.2
2021,Female,65 and over,Not disabled,Percent,4.2
2022,Female,65 and over,Not disabled,Percent,2.6
2023,Female,65 and over,Not disabled,Percent,2.7
