Year,Sex,Age,Disability Status,Units,Value
2014,Women,25 - 34,Persons with a disability,Percent,18.3
2015,Women,25 - 34,Persons with a disability,Percent,17.3
2016,Women,25 - 34,Persons with a disability,Percent,16.3
2017,Women,25 - 34,Persons with a disability,Percent,12.2
2018,Women,25 - 34,Persons with a disability,Percent,12.2
2019,Women,25 - 34,Persons with a disability,Percent,9.8
2020,Women,25 - 34,Persons with a disability,Percent,17.6
2021,Women,25 - 34,Persons with a disability,Percent,11.8
2022,Women,25 - 34,Persons with a disability,Percent,8.8
2023,Women,25 - 34,Persons with a disability,Percent,9.5
2009,Women,25 - 34,Persons with no disability,Percent,8.3
2010,Women,25 - 34,Persons with no disability,Percent,8.9
2011,Women,25 - 34,Persons with no disability,Percent,8.8
2012,Women,25 - 34,Persons with no disability,Percent,8.1
2013,Women,25 - 34,Persons with no disability,Percent,7.0
2014,Women,25 - 34,Persons with no disability,Percent,6.4
2015,Women,25 - 34,Persons with no disability,Percent,5.3
2016,Women,25 - 34,Persons with no disability,Percent,4.8
2017,Women,25 - 34,Persons with no disability,Percent,4.4
2018,Women,25 - 34,Persons with no disability,Percent,3.8
2019,Women,25 - 34,Persons with no disability,Percent,3.6
2020,Women,25 - 34,Persons with no disability,Percent,8.1
2021,Women,25 - 34,Persons with no disability,Percent,5.2
2022,Women,25 - 34,Persons with no disability,Percent,3.7
2023,Women,25 - 34,Persons with no disability,Percent,3.4
2009,Women,35 - 44,Persons with a disability,Percent,15.4
2010,Women,35 - 44,Persons with a disability,Percent,16.3
2011,Women,35 - 44,Persons with a disability,Percent,16.8
2012,Women,35 - 44,Persons with a disability,Percent,17.4
2013,Women,35 - 44,Persons with a disability,Percent,14.5
2014,Women,35 - 44,Persons with a disability,Percent,13.8
2015,Women,35 - 44,Persons with a disability,Percent,10.8
2016,Women,35 - 44,Persons with a disability,Percent,11.0
2017,Women,35 - 44,Persons with a disability,Percent,10.6
2018,Women,35 - 44,Persons with a disability,Percent,7.6
2019,Women,35 - 44,Persons with a disability,Percent,8.1
2020,Women,35 - 44,Persons with a disability,Percent,13.7
2021,Women,35 - 44,Persons with a disability,Percent,11.1
2022,Women,35 - 44,Persons with a disability,Percent,9.0
2023,Women,35 - 44,Persons with a disability,Percent,7.7
2009,Women,35 - 44,Persons with no disability,Percent,6.9
2010,Women,35 - 44,Persons with no disability,Percent,7.4
2011,Women,35 - 44,Persons with no disability,Percent,6.9
2012,Women,35 - 44,Persons with no disability,Percent,6.5
2013,Women,35 - 44,Persons with no disability,Percent,5.8
2014,Women,35 - 44,Persons with no disability,Percent,4.6
2015,Women,35 - 44,Persons with no disability,Percent,4.2
2016,Women,35 - 44,Persons with no disability,Percent,3.9
2017,Women,35 - 44,Persons with no disability,Percent,3.5
2018,Women,35 - 44,Persons with no disability,Percent,3.0
2019,Women,35 - 44,Persons with no disability,Percent,2.7
2020,Women,35 - 44,Persons with no disability,Percent,6.5
2021,Women,35 - 44,Persons with no disability,Percent,4.4
2022,Women,35 - 44,Persons with no disability,Percent,2.8
2023,Women,35 - 44,Persons with no disability,Percent,2.6
2009,Women,45 - 54,Persons with a disability,Percent,12.3
2010,Women,45 - 54,Persons with a disability,Percent,13.5
2011,Women,45 - 54,Persons with a disability,Percent,14.0
2012,Women,45 - 54,Persons with a disability,Percent,14.0
2013,Women,45 - 54,Persons with a disability,Percent,13.2
2014,Women,45 - 54,Persons with a disability,Percent,11.0
2015,Women,45 - 54,Persons with a disability,Percent,9.0
2016,Women,45 - 54,Persons with a disability,Percent,9.0
2017,Women,45 - 54,Persons with a disability,Percent,8.4
2018,Women,45 - 54,Persons with a disability,Percent,7.1
2019,Women,45 - 54,Persons with a disability,Percent,6.9
2020,Women,45 - 54,Persons with a disability,Percent,11.8
2021,Women,45 - 54,Persons with a disability,Percent,10.5
2022,Women,45 - 54,Persons with a disability,Percent,5.8
2023,Women,45 - 54,Persons with a disability,Percent,6.8
2009,Women,45 - 54,Persons with no disability,Percent,5.7
2010,Women,45 - 54,Persons with no disability,Percent,6.5
2011,Women,45 - 54,Persons with no disability,Percent,6.4
2012,Women,45 - 54,Persons with no disability,Percent,5.9
2013,Women,45 - 54,Persons with no disability,Percent,5.2
2014,Women,45 - 54,Persons with no disability,Percent,4.2
2015,Women,45 - 54,Persons with no disability,Percent,3.6
2016,Women,45 - 54,Persons with no disability,Percent,3.5
2017,Women,45 - 54,Persons with no disability,Percent,3.1
2018,Women,45 - 54,Persons with no disability,Percent,2.7
2019,Women,45 - 54,Persons with no disability,Percent,2.5
2020,Women,45 - 54,Persons with no disability,Percent,6.7
2021,Women,45 - 54,Persons with no disability,Percent,4.0
2022,Women,45 - 54,Persons with no disability,Percent,2.4
2023,Women,45 - 54,Persons with no disability,Percent,2.2
2009,Women,55 - 64,Persons with a disability,Percent,9.9
2010,Women,55 - 64,Persons with a disability,Percent,10.2
2011,Women,55 - 64,Persons with a disability,Percent,10.9
2012,Women,55 - 64,Persons with a disability,Percent,8.5
2013,Women,55 - 64,Persons with a disability,Percent,9.6
2014,Women,55 - 64,Persons with a disability,Percent,9.3
2015,Women,55 - 64,Persons with a disability,Percent,8.4
2016,Women,55 - 64,Persons with a disability,Percent,7.6
2017,Women,55 - 64,Persons with a disability,Percent,7.0
2018,Women,55 - 64,Persons with a disability,Percent,6.5
2019,Women,55 - 64,Persons with a disability,Percent,5.2
2020,Women,55 - 64,Persons with a disability,Percent,10.2
2021,Women,55 - 64,Persons with a disability,Percent,6.4
2022,Women,55 - 64,Persons with a disability,Percent,4.6
2023,Women,55 - 64,Persons with a disability,Percent,4.5
2009,Women,55 - 64,Persons with no disability,Percent,5.7
2010,Women,55 - 64,Persons with no disability,Percent,6.0
2011,Women,55 - 64,Persons with no disability,Percent,5.8
2012,Women,55 - 64,Persons with no disability,Percent,5.4
2013,Women,55 - 64,Persons with no disability,Percent,4.7
2014,Women,55 - 64,Persons with no disability,Percent,3.9
2015,Women,55 - 64,Persons with no disability,Percent,3.3
2016,Women,55 - 64,Persons with no disability,Percent,3.0
2017,Women,55 - 64,Persons with no disability,Percent,2.8
2018,Women,55 - 64,Persons with no disability,Percent,2.5
2019,Women,55 - 64,Persons with no disability,Percent,2.5
2020,Women,55 - 64,Persons with no disability,Percent,7.0
2021,Women,55 - 64,Persons with no disability,Percent,4.0
2022,Women,55 - 64,Persons with no disability,Percent,2.4
2023,Women,55 - 64,Persons with no disability,Percent,2.2
2009,Women,65 +,Persons with a disability,Percent,7.3
2010,Women,65 +,Persons with a disability,Percent,9.4
2011,Women,65 +,Persons with a disability,Percent,8.1
2012,Women,65 +,Persons with a disability,Percent,7.4
2013,Women,65 +,Persons with a disability,Percent,6.0
2014,Women,65 +,Persons with a disability,Percent,6.1
2015,Women,65 +,Persons with a disability,Percent,5.7
2016,Women,65 +,Persons with a disability,Percent,7.4
2017,Women,65 +,Persons with a disability,Percent,6.0
2018,Women,65 +,Persons with a disability,Percent,4.9
2019,Women,65 +,Persons with a disability,Percent,5.0
2020,Women,65 +,Persons with a disability,Percent,9.6
2021,Women,65 +,Persons with a disability,Percent,8.2
2022,Women,65 +,Persons with a disability,Percent,5.1
2023,Women,65 +,Persons with a disability,Percent,4.7
2009,Women,65 +,Persons with no disability,Percent,6.0
2010,Women,65 +,Persons with no disability,Percent,5.8
2011,Women,65 +,Persons with no disability,Percent,6.3
2012,Women,65 +,Persons with no disability,Percent,6.2
2013,Women,65 +,Persons with no disability,Percent,5.0
2014,Women,65 +,Persons with no disability,Percent,4.5
2015,Women,65 +,Persons with no disability,Percent,3.7
2016,Women,65 +,Persons with no disability,Percent,3.5
2017,Women,65 +,Persons with no disability,Percent,3.6
2018,Women,65 +,Persons with no disability,Percent,3.1
2019,Women,65 +,Persons with no disability,Percent,2.8
2020,Women,65 +,Persons with no disability,Percent,8.2
2021,Women,65 +,Persons with no disability,Percent,4.2
2022,Women,65 +,Persons with no disability,Percent,2.6
2023,Women,65 +,Persons with no disability,Percent,2.7
